Symbol,FullName,Sector,startDate,endDate,Duration,LatestClose,Prediction1wA,Prediction1mA,Gaps1wA,Gaps1mA,1wA%,1mA%,Validation,Accuracy1wB
JPM,JPMorgan Chase & Co.,Financial Services,1980-03-17,2024-10-25,16293,222.30999755859372,154.46332,116.35609,-67.84667755859371,-105.95390755859373,0.6948104974869089,0.5233956694607597,V,HELLp
CG,The Carlyle Group Inc.,Financial Services,2012-05-03,2024-10-25,4558,50.220001220703125,49.64174,48.827953,-0.5782612207031264,-1.3920482207031242,0.9884854399313567,0.9722809998632725,V,HELLp
ORCL,Oracle Corporation,Technology,1986-03-12,2024-10-25,14107,173.52000427246094,111.43173,76.46381,-62.088274272460936,-97.05619427246094,0.6421837670372,0.44066279459016494,V,HELLp
TEAM,Atlassian Corporation,Technology,2015-12-09,2024-10-25,3243,188.72999572753903,187.9614,182.5196,-0.7685957275390365,-6.210395727539037,0.9959275380440923,0.9670937536791729,V,HELLp
CSCO,"Cisco Systems, Inc.",Technology,1990-02-16,2024-10-25,12670,55.7400016784668,56.584225,57.597076,0.8442233215332067,1.8570743215332044,1.0151457354881879,1.0333167252531787,V,HELLp
WFC,Wells Fargo & Company,Financial Services,1972-06-01,2024-10-25,19139,64.52999877929688,65.33247,65.9072,0.8024712207031257,1.3772012207031281,1.0124356304956352,1.0213420307880894,V,HELLp
MDT,Medtronic plc,Healthcare,1973-05-02,2024-10-25,18804,90.58999633789062,89.724495,85.94972,-0.8655013378906204,-4.640276337890626,0.9904459501834795,0.9487771660726985,V,HELLp
GME,GameStop Corp.,Consumer Cyclical,2002-02-13,2024-10-25,8290,20.56999969482422,35.903736,43.768032,15.333736305175783,23.19803230517578,1.7454417371252575,2.1277604593748642,V,HELLp
RIVN,"Rivian Automotive, Inc.",Consumer Cyclical,2021-11-10,2024-10-25,1080,10.449999809265137,14.426322,27.971037,3.976322190734864,17.521037190734862,1.3805093074938999,2.676654307227875,V,HELLp
GDS,GDS Holdings Limited,Technology,2016-11-02,2024-10-25,2914,21.489999771118164,20.74915,19.314713,-0.7408497711181639,-2.175286771118163,0.9655258362490147,0.8987767894701574,V,HELLp
XPEV,XPeng Inc.,Consumer Cyclical,2020-08-27,2024-10-25,1520,11.130000114440918,11.416485,11.890736,0.2864848855590818,0.7607358855590824,1.025739881636423,1.068350033938638,V,HELLp
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,2013-01-18,2024-10-25,4298,23.15999984741211,21.681448,18.92079,-1.4785518474121098,-4.239209847412109,0.9361592462368983,0.816959849942063,V,HELLp
PEP,"PepsiCo, Inc.",Consumer Defensive,1972-06-01,2024-10-25,19139,171.7899932861328,152.14381,130.77219,-19.64618328613281,-41.01780328613282,0.8856383721174598,0.7612328721742616,V,HELLp
GOOGL,Alphabet Inc.,Communication Services,2004-08-19,2024-10-25,7372,165.27000427246094,149.95103,136.64427,-15.318974272460935,-28.62573427246093,0.9073094095937314,0.8267941336452735,V,HELLp
ADMA,"ADMA Biologics, Inc.",Healthcare,2013-10-17,2024-10-25,4026,15.8100004196167,13.169453,11.136788,-2.6405474196166985,-4.6732124196167,0.8329824573350191,0.7044141495519329,V,HELLp
VZ,Verizon Communications Inc.,Communication Services,1983-11-21,2024-10-25,14949,41.380001068115234,42.336025,43.372845,0.956023931884765,1.9928439318847637,1.0231035260320815,1.0481595911175634,V,HELLp
Nasdaq Futures,,,,,,,,,,,,,,
ACN,Accenture plc,Technology,2001-07-19,2024-10-25,8499,360.7999877929688,360.47733,347.6939,-0.3226577929688119,-13.106087792968822,0.9991057156211602,0.9636749217394951,V,HELLp
NFE,New Fortress Energy Inc.,Utilities,2019-01-31,2024-10-25,2094,8.640000343322754,11.370812,13.978449,2.730811656677247,5.3384486566772456,1.3160661514079335,1.6178759773780513,V,HELLp
ON,ON Semiconductor Corporation,Technology,2000-05-02,2024-10-25,8942,71.25,67.19683,65.72829,-4.053169999999994,-5.521709999999999,0.943113403508772,0.9225023157894737,V,HELLp
TSLA,"Tesla, Inc.",Consumer Cyclical,2010-06-29,2024-10-25,5232,269.19000244140625,244.3159,270.95706,-24.87410244140625,1.7670575585937627,0.9075964849518491,1.0065643506169155,V,HELLp
GLW,Corning Incorporated,Technology,1981-12-31,2024-10-25,15639,46.25,48.04765,52.348854,1.7976499999999973,6.098854000000003,1.0388681081081081,1.1318671135135137,V,HELLp
MDB,"MongoDB, Inc.",Technology,2017-10-19,2024-10-25,2563,268.739990234375,271.21783,287.99142,2.477839765624992,19.251429765625005,1.009220212308053,1.0716358951596126,V,HELLp
SIRI,Sirius XM Holdings Inc.,Communication Services,1994-09-13,2024-10-25,11000,26.399999618530277,20.705238,3.4836845,-5.694761618530276,-22.916315118530278,0.7842893295144937,0.1319577481188593,V,HELLp
KMI,"Kinder Morgan, Inc.",Energy,2011-02-11,2024-10-25,5005,24.950000762939453,24.254444,22.546448,-0.6955567629394537,-2.4035527629394515,0.9721219742817552,0.9036652228680622,V,HELLp
MSI,"Motorola Solutions, Inc.",Technology,1962-01-02,2024-10-25,22942,462.3200073242188,303.70377,209.96341,-158.6162373242188,-252.3565973242188,0.6569124528219188,0.45415168427429853,V,HELLp
UAL,"United Airlines Holdings, Inc.",Industrials,2006-02-06,2024-10-25,6836,74.63999938964844,73.867584,73.037094,-0.7724153896484438,-1.6029053896484413,0.9896514550379865,0.9785248472299594,V,HELLp
ZBRA,Zebra Technologies Corporation,Technology,1991-08-15,2024-10-25,12125,360.0899963378906,298.79056,241.87216,-61.2994363378906,-118.21783633789062,0.8297663446324395,0.6716991931457023,V,HELLp
SLB,Schlumberger Limited,Energy,1981-12-31,2024-10-25,15639,41.7400016784668,42.20454,43.848286,0.4645383215332046,2.1082843215332048,1.011129331644777,1.050509924215476,V,HELLp
ANSS,"ANSYS, Inc.",Technology,1996-06-20,2024-10-25,10354,322.8099975585937,312.6274,295.9835,-10.18259755859367,-26.8264975585937,0.9684563748471098,0.9168969432127815,V,HELLp
GRAB,Grab Holdings Limited,Technology,2020-12-01,2024-10-25,1424,4.070000171661377,3.595414,3.2373424,-0.47458617166137707,-0.8326577716613768,0.8833940659349774,0.7954157895473785,V,HELLp
IEP,Icahn Enterprises L.P.,Energy,1987-07-23,2024-10-25,13609,15.329999923706056,16.115242,18.687664,0.785242076293942,3.357664076293945,1.051222575355637,1.2190257073062152,V,HELLp
APP,AppLovin Corporation,Technology,2021-04-15,2024-10-25,1289,161.6300048828125,103.00344,78.513916,-58.6265648828125,-83.1160888828125,0.6372791987148745,0.4857632470958927,V,HELLp
PCG,PG&E Corporation,Utilities,1972-06-01,2024-10-25,19139,20.36000061035156,20.503265,20.138117,0.14326438964844002,-0.2218836103515578,1.007036561166683,0.9891019841011819,V,HELLp
C,Citigroup Inc.,Financial Services,1977-01-03,2024-10-25,17462,61.7599983215332,59.09749,48.67999,-2.6625083215332026,-13.080008321533207,0.9568894366273826,0.7882122947375027,V,HELLp
RIOT,"Riot Platforms, Inc.",Financial Services,2016-03-31,2024-10-25,3130,9.640000343322754,10.678184,12.607941,1.038183656677246,2.9679406566772464,1.1076953962347476,1.3078776505161664,V,HELLp
MRVL,"Marvell Technology, Inc.",Technology,2000-06-30,2024-10-25,8883,81.61000061035156,61.20415,50.082096,-20.405850610351564,-31.527904610351563,0.7499589455000782,0.6136759664923651,V,HELLp
DJTWW,Trump Media & Technology Group Corp.,Communication Services,2024-03-26,2024-10-25,213,27.71999931335449,22.284445,21.662653,-5.435554313354487,-6.05734631335449,0.8039121772006742,0.7814810078138682,V,HELLp
BAC,Bank of America Corporation,Financial Services,1973-02-21,2024-10-25,18874,41.88999938964844,42.578934,42.525093,0.6889346103515592,0.6350936103515608,1.0164462788347952,1.015160983996302,V,HELLp
ASTS,"AST SpaceMobile, Inc.",Technology,2019-11-01,2024-10-25,1820,25.6200008392334,18.064665,15.714319,-7.555335839233397,-9.905681839233399,0.7051000939990809,0.6133613772539674,V,HELLp
TEVA,Teva Pharmaceutical Industries Limited,Healthcare,1982-02-16,2024-10-25,15592,17.899999618530273,18.347189,18.41816,0.44718938146972675,0.5181603814697269,1.024982647541891,1.0289475079615824,V,HELLp
SWN,Southwestern Energy Company,Energy,1980-03-17,2024-09-30,16268,7.110000133514404,7.0935535,7.1930146,-0.016446633514404674,0.0830144664855954,0.9976868307727759,1.0116757334636732,V,HELLp
HR,Healthcare Realty Trust Incorporated,Real Estate,1993-05-27,2024-10-25,11474,17.700000762939453,18.573528,19.461517,0.8735272370605465,1.7615162370605475,1.0493518191755986,1.0995206870696208,V,HELLp
PAGS,PagSeguro Digital Ltd.,Technology,2018-01-24,2024-10-25,2466,8.270000457763672,8.662934,9.284055,0.39293354223632804,1.0140545422363285,1.0475131221870069,1.122618438465062,V,HELLp
SMCI,"Super Micro Computer, Inc.",Technology,2007-03-29,2024-10-25,6420,47.27000045776367,48.173035,54.757946,0.9030345422363268,7.487945542236325,1.0191037557328395,1.158407985397142,V,HELLp
WBD,"Warner Bros. Discovery, Inc.",Communication Services,2005-07-08,2024-10-25,7049,7.599999904632568,8.155024,9.163562,0.5550240953674308,1.5635620953674323,1.073029487148956,1.205731857235204,V,HELLp
EW,Edwards Lifesciences Corporation,Healthcare,2000-03-27,2024-10-25,8978,69.37999725341797,71.04917,73.009384,1.669172746582035,3.6293867465820284,1.0240584147111624,1.0523117164926556,V,HELLp
PFE,Pfizer Inc.,Healthcare,1972-06-01,2024-10-25,19139,28.450000762939453,28.560228,28.109032,0.11022723706054549,-0.340968762939454,1.0038744194764357,0.9880151580388139,V,HELLp
VFC,V.F. Corporation,Consumer Cyclical,1980-03-17,2024-10-25,16293,16.729999542236328,17.76733,18.835024,1.037330457763673,2.1050244577636725,1.0620042131588134,1.125823342221221,V,HELLp
NTAP,"NetApp, Inc.",Technology,1995-11-21,2024-10-25,10566,119.41000366210938,112.31747,101.38657,-7.092533662109375,-18.02343366210937,0.9406035219446196,0.849062615280461,V,HELLp
SBSW,Sibanye Stillwater Limited,Basic Materials,2013-02-11,2024-10-25,4274,4.929999828338623,4.660299,4.5470667,-0.26970082833862286,-0.3829331283386228,0.945293947722203,0.9223259347520771,V,HELLp
INTC,Intel Corporation,Technology,1980-03-17,2024-10-25,16293,22.68000030517578,22.73516,24.43668,0.05515969482421923,1.7566796948242178,1.0024320852769844,1.077455011957091,V,HELLp
COIN,"Coinbase Global, Inc.",Financial Services,2021-04-14,2024-10-25,1290,205.0399932861328,213.42662,225.92151,8.386626713867201,20.8815167138672,1.0409023945985196,1.1018411890246558,V,HELLp
HPQ,HP Inc.,Technology,1962-01-02,2024-10-25,22942,36.880001068115234,34.120033,31.216087,-2.759968068115235,-5.663914068115233,0.9251635578041949,0.8464231587831489,V,HELLp
BP,BP p.l.c.,Energy,1962-01-02,2024-10-25,22942,31.520000457763672,30.927843,29.796719,-0.5921574577636726,-1.7232814577636724,0.9812132788970878,0.9453273657126736,V,HELLp
VICI,VICI Properties Inc.,Real Estate,2018-01-02,2024-10-25,2488,32.099998474121094,32.559505,32.152794,0.4595065258789077,0.052795525878906346,1.0143148457234152,1.0016447205105468,V,HELLp
ICHBF,"Industrias CH, S. A. B. de C. V.",Basic Materials,2017-08-30,2024-10-25,2613,9.916099548339844,10.253071,10.816099,0.3369714516601565,0.8999994516601557,1.0339822578441715,1.0907614377278851,V,HELLp
TRMB,Trimble Inc.,Technology,1990-07-20,2024-10-25,12516,60.900001525878906,53.477245,45.56935,-7.422756525878903,-15.330651525878906,0.87811565944338,0.7482651700860092,V,HELLp
WDC,Western Digital Corporation,Technology,1978-10-31,2024-10-25,16796,69.44999694824219,66.728355,67.876686,-2.721641948242194,-1.573310948242181,0.9608114893040167,0.9773461336590886,V,HELLp
PINS,"Pinterest, Inc.",Communication Services,2019-04-18,2024-10-25,2017,32.349998474121094,30.83123,27.92802,-1.5187684741210923,-4.421978474121094,0.9530519769471997,0.8633082323741521,V,HELLp
FSLR,"First Solar, Inc.",Technology,2006-11-17,2024-10-25,6552,198.47000122070312,191.24065,184.21901,-7.229351220703137,-14.250991220703128,0.9635745897302438,0.9281957417592006,V,HELLp
Russell 2000 Futures,,,,,,,,,,,,,,
GLMD,Galmed Pharmaceuticals Ltd.,Healthcare,2014-03-13,2024-10-25,3879,3.930000066757202,5.128686,6.648788,1.198685933242798,2.7187879332427975,1.3050091381377205,1.6918035336030355,V,HELLp
RF,Regions Financial Corporation,Financial Services,1980-03-17,2024-10-25,16293,23.5,23.996609,24.725994,0.4966089999999994,1.225994,1.0211322978723405,1.0521699574468084,V,HELLp
VLY,Valley National Bancorp,Financial Services,1990-03-23,2024-10-25,12635,9.270000457763672,9.547669,10.059086,0.277668542236329,0.7890855422363288,1.029953455072786,1.085122492262173,V,HELLp
CDNS,"Cadence Design Systems, Inc.",Technology,1987-06-10,2024-10-25,13652,257.29998779296875,165.56998,110.71002,-91.73000779296876,-146.58996779296876,0.6434900421885077,0.4302760406233699,V,HELLp
VOD,Vodafone Group Public Limited Company,Communication Services,1988-11-02,2024-10-25,13141,9.479999542236328,9.241737,8.534012,-0.2382625422363276,-0.9459875422363275,0.9748668192255924,0.9002122797557468,V,HELLp
JD,"JD.com, Inc.",Consumer Cyclical,2014-05-22,2024-10-25,3809,39.900001525878906,37.866882,33.886715,-2.0331195258789094,-6.013286525878904,0.949044625360221,0.8492910702778114,V,HELLp
MSFT,Microsoft Corporation,Technology,1986-03-13,2024-10-25,14106,428.1499938964844,193.77898,130.54218,-234.37101389648438,-297.60781389648434,0.45259601252464515,0.30489824094581613,V,HELLp
ROIV,Roivant Sciences Ltd.,Healthcare,2020-12-08,2024-10-25,1417,11.920000076293944,11.099422,10.527771,-0.820578076293943,-1.392229076293944,0.9311595577985039,0.8832022594477362,V,HELLp
KEY,KeyCorp,Financial Services,1987-11-05,2024-10-25,13504,17.040000915527344,17.284723,17.643467,0.24472208447265587,0.6034660844726574,1.014361623904002,1.0354146744160537,V,HELLp
NVAX,"Novavax, Inc.",Healthcare,1995-12-05,2024-10-25,10552,9.739999771118164,9.927351,9.89559,0.18735122888183575,0.15559022888183627,1.0192352395569233,1.0159743565234165,V,HELLp
QCOM,QUALCOMM Incorporated,Technology,1991-12-13,2024-10-25,12005,170.27000427246094,123.9068,93.15433,-46.36320427246093,-77.11567427246094,0.7277077400064433,0.5470977134113255,V,HELLp
YMM,Full Truck Alliance Co. Ltd.,Technology,2021-06-23,2024-10-25,1220,8.979999542236328,9.509728,13.342306,0.5297284577636727,4.3623064577636725,1.0589898089941052,1.48578025391272,V,HELLp
OMEX,"Odyssey Marine Exploration, Inc.",Basic Materials,1999-10-26,2024-10-25,9131,0.5180000066757202,2.2325804,4.5416427,1.7145803933242796,4.0236426933242795,4.3100007166556775,8.767649887006993,V,HELLp
LDOS,"Leidos Holdings, Inc.",Technology,2006-10-17,2024-10-25,6583,168.7100067138672,128.14891,107.57183,-40.56109671386719,-61.13817671386718,0.7595809667492992,0.6376138090163332,V,HELLp
HST,"Host Hotels & Resorts, Inc.",Real Estate,1980-03-17,2024-10-25,16293,17.579999923706055,17.616814,17.92189,0.03681407629394684,0.3418900762939465,1.0020940885354785,1.0194476722285373,V,HELLp
GSAT,"Globalstar, Inc.",Communication Services,2006-11-02,2024-10-25,6567,1.0299999713897705,1.1483804,1.4676343,0.11838042861022946,0.43763432861022955,1.1149324581538578,1.4248877094819072,V,HELLp
XOM,Exxon Mobil Corporation,Energy,1962-01-02,2024-10-25,22942,119.48999786376952,117.404564,111.21303,-2.0854338637695236,-8.276967863769514,0.9825472097995421,0.9307308727781042,V,HELLp
RBLX,Roblox Corporation,Communication Services,2021-03-10,2024-10-25,1325,42.13999938964844,40.137268,37.955814,-2.0027313896484387,-4.184185389648441,0.952474337478505,0.9007075118592367,V,HELLp
RTX,RTX Corporation,Industrials,1962-04-02,2024-10-25,22852,125.16000366210938,116.831314,101.55874,-8.328689662109369,-23.601263662109375,0.9334556614060665,0.8114312642094116,V,HELLp
MSTR,MicroStrategy Incorporated,Technology,1998-06-11,2024-10-25,9633,234.33999633789065,201.3198,171.98022,-33.02019633789067,-62.35977633789065,0.8590927846124934,0.7338918779875067,V,HELLp
LYG,Lloyds Banking Group plc,Financial Services,2001-11-28,2024-10-25,8367,2.950000047683716,3.172001,3.1222034,0.22200095231628403,0.17220335231628425,1.0752545588908025,1.0583740167907778,V,HELLp
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,2008-05-07,2024-10-25,6015,34.58000183105469,36.344986,37.51024,1.7649841689453112,2.9302381689453156,1.0510406036867315,1.0847379414050176,V,HELLp
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,2000-08-10,2024-10-25,8842,13.789999961853027,13.236669,11.896262,-0.5533309618530282,-1.8937379618530272,0.9598744769119872,0.8626730988330941,V,HELLp
OXY,Occidental Petroleum Corporation,Energy,1981-12-31,2024-10-25,15639,51.58000183105469,53.221584,58.358227,1.6415821689453125,6.778225168945312,1.0318259424325373,1.1314118830617093,V,HELLp
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,1980-03-17,2024-10-25,16293,9.260000228881836,9.318028,8.502207,0.05802777111816404,-0.7577932288818356,1.0062664978060343,0.9181648801132545,V,HELLp
MPWR,"Monolithic Power Systems, Inc.",Technology,2004-11-19,2024-10-25,7280,901.2899780273438,691.6111,536.1102,-209.67887802734379,-365.1797780273438,0.7673569182625678,0.5948254314037599,V,HELLp
AES,The AES Corporation,Utilities,1991-06-26,2024-10-25,12175,16.959999084472656,16.645084,15.592957,-0.3149150844726556,-1.367042084472656,0.9814318926018711,0.9193960991587422,V,HELLp
ERIC,Telefonaktiebolaget LM Ericsson (publ),Technology,1981-08-24,2024-10-25,15768,8.4399995803833,8.825225,9.800682,0.38522541961669887,1.3606824196166993,1.0456428244987193,1.1612183041785062,V,HELLp
AKAM,"Akamai Technologies, Inc.",Technology,1999-10-29,2024-10-25,9128,101.97000122070312,104.43295,107.2861,2.4629487792968803,5.31609877929688,1.0241536603884713,1.052133948373608,V,HELLp
NLY,"Annaly Capital Management, Inc.",Real Estate,1997-10-08,2024-10-25,9879,19.489999771118164,23.153378,28.572407,3.663378228881836,9.082407228881834,1.187961943145352,1.466003454876427,V,HELLp
UMC,United Microelectronics Corporation,Technology,2000-09-19,2024-10-25,8802,7.75,8.1246805,9.215424,0.3746805000000002,1.4654240000000005,1.048345870967742,1.1890869677419356,V,HELLp
NWL,Newell Brands Inc.,Consumer Defensive,1980-03-17,2024-10-25,16293,8.729999542236328,7.38947,7.4822626,-1.340529542236328,-1.2477369422363278,0.8464456343037872,0.8570747986641131,V,HELLp
HPE,Hewlett Packard Enterprise Company,Technology,2015-10-19,2024-10-25,3294,19.459999084472656,17.936209,16.784029,-1.5237900844726546,-2.675970084472656,0.9216962920780144,0.8624886839482001,V,HELLp
MNSO,MINISO Group Holding Limited,Consumer Cyclical,2020-10-15,2024-10-25,1471,17.40999984741211,17.68095,18.022583,0.2709501525878899,0.6125831525878915,1.0155629037887766,1.0351857069475476,V,HELLp
AVAV,"AeroVironment, Inc.",Industrials,2007-01-23,2024-10-25,6485,220.8999938964844,151.53853,120.96741,-69.3614638964844,-99.9325838964844,0.686005134391322,0.547611649354261,V,HELLp
MU,"Micron Technology, Inc.",Technology,1984-06-01,2024-10-25,14756,107.91000366210938,104.02642,98.24876,-3.8835836621093733,-9.66124366210937,0.9640109023231085,0.9104694343968247,V,HELLp
PARA,Paramount Global,Communication Services,2005-12-05,2024-10-25,6899,10.270000457763672,10.619648,11.444709,0.3496475422363279,1.1747085422363277,1.0340455235298465,1.1143825209227034,V,HELLp
IAG,IAMGOLD Corporation,Basic Materials,2003-07-15,2024-10-25,7773,5.769999980926514,5.8375387,5.374739,0.06753871907348596,-0.39526098092651374,1.0117051506580146,0.9314972301155805,V,HELLp
Crude Oil,,,,,,,,,,,,,,
MPW,"Medical Properties Trust, Inc.",Real Estate,2005-07-08,2024-10-25,7049,4.619999885559082,5.645686,6.712932,1.0256861144409184,2.0929321144409183,1.2220099869800747,1.453015620407888,V,HELLp
T,AT&T Inc.,Communication Services,1983-11-21,2024-10-25,14949,21.82999992370605,22.018538,21.569098,0.18853807629394836,-0.2609019237060508,1.008636650341405,0.9880484688677105,V,HELLp
